Misspelt             Predicted            Correct              Match
baqk                 oy                   back                 N      
baqk                 oz                   back                 N      
baqk                 p                    back                 N      
baqk                 pa                   back                 N      
baqk                 pb                   back                 N      
baqk                 pc                   back                 N      
baqk                 pd                   back                 N      
baqk                 pe                   back                 N      
baqk                 pf                   back                 N      
baqk                 pg                   back                 N      
baqk                 ph                   back                 N      
baqk                 pi                   back                 N      
baqk                 pk                   back                 N      
baqk                 pl                   back                 N      
baqk                 pm                   back                 N      
baqk                 po                   back                 N      
baqk                 pp                   back                 N      
baqk                 pq                   back                 N      
baqk                 pr                   back                 N      
baqk                 ps                   back                 N      
baqk                 pt                   back                 N      
baqk                 pu                   back                 N      
baqk                 pw                   back                 N      
baqk                 px                   back                 N      
baqk                 q                    back                 N      
baqk                 qa                   back                 N      
baqk                 qc                   back                 N      
baqk                 qe                   back                 N      
baqk                 qh                   back                 N      
baqk                 qi                   back                 N      
baqk                 ql                   back                 N      
baqk                 qm                   back                 N      
baqk                 qn                   back                 N      
baqk                 qp                   back                 N      
baqk                 qr                   back                 N      
baqk                 qs                   back                 N      
baqk                 qt                   back                 N      
baqk                 qu                   back                 N      
baqk                 qv                   back                 N      
baqk                 qy                   back                 N      
baqk                 r                    back                 N      
baqk                 ra                   back                 N      
baqk                 rb                   back                 N      
baqk                 rc                   back                 N      
baqk                 rd                   back                 N      
baqk                 re                   back                 N      
baqk                 rf                   back                 N      
baqk                 rg                   back                 N      
baqk                 rh                   back                 N      
baqk                 rm                   back                 N      
baqk                 rn                   back                 N      
baqk                 ro                   back                 N      
baqk                 rp                   back                 N      
baqk                 rs                   back                 N      
baqk                 rt                   back                 N      
baqk                 ru                   back                 N      
baqk                 rv                   back                 N      
baqk                 s                    back                 N      
baqk                 sa                   back                 N      
baqk                 sb                   back                 N      
baqk                 sc                   back                 N      
baqk                 sd                   back                 N      
baqk                 se                   back                 N      
baqk                 sf                   back                 N      
baqk                 sg                   back                 N      
baqk                 sh                   back                 N      
baqk                 si                   back                 N      
baqk                 sk                   back                 N      
baqk                 sl                   back                 N      
baqk                 sm                   back                 N      
baqk                 sn                   back                 N      
baqk                 so                   back                 N      
baqk                 sp                   back                 N      
baqk                 sq                   back                 N      
baqk                 sr                   back                 N      
baqk                 ss                   back                 N      
baqk                 st                   back                 N      
baqk                 su                   back                 N      
baqk                 sv                   back                 N      
baqk                 sw                   back                 N      
baqk                 t                    back                 N      
baqk                 ta                   back                 N      
baqk                 tb                   back                 N      
baqk                 tc                   back                 N      
baqk                 td                   back                 N      
baqk                 te                   back                 N      
baqk                 tg                   back                 N      
baqk                 th                   back                 N      
baqk                 ti                   back                 N      
baqk                 tk                   back                 N      
baqk                 tm                   back                 N      
baqk                 tn                   back                 N      
baqk                 to                   back                 N      
baqk                 tp                   back                 N      
baqk                 tr                   back                 N      
baqk                 ts                   back                 N      
baqk                 tu                   back                 N      
baqk                 tv                   back                 N      
baqk                 tx                   back                 N      
baqk                 ty                   back                 N      
baqk                 u                    back                 N      
baqk                 uc                   back                 N      
baqk                 ud                   back                 N      
baqk                 ug                   back                 N      
baqk                 uh                   back                 N      
baqk                 ui                   back                 N      
baqk                 uk                   back                 N      
baqk                 ul                   back                 N      
baqk                 um                   back                 N      
baqk                 un                   back                 N      
baqk                 up                   back                 N      
baqk                 ur                   back                 N      
baqk                 us                   back                 N      
baqk                 ut                   back                 N      
baqk                 uv                   back                 N      
baqk                 ux                   back                 N      
baqk                 v                    back                 N      
baqk                 va                   back                 N      
baqk                 vb                   back                 N      
baqk                 vc                   back                 N      
baqk                 vd                   back                 N      
baqk                 vf                   back                 N      
baqk                 vg                   back                 N      
baqk                 vi                   back                 N      
baqk                 vj                   back                 N      
baqk                 vl                   back                 N      
baqk                 vm                   back                 N      
baqk                 vo                   back                 N      
baqk                 vp                   back                 N      
baqk                 vr                   back                 N      
baqk                 vs                   back                 N      
baqk                 vt                   back                 N      
baqk                 vu                   back                 N      
baqk                 vv                   back                 N      
baqk                 w                    back                 N      
baqk                 wa                   back                 N      
baqk                 wb                   back                 N      
baqk                 wc                   back                 N      
baqk                 wd                   back                 N      
baqk                 we                   back                 N      
baqk                 wf                   back                 N      
baqk                 wg                   back                 N      
baqk                 wh                   back                 N      
baqk                 wi                   back                 N      
baqk                 wk                   back                 N      
baqk                 wl                   back                 N      
baqk                 wm                   back                 N      
baqk                 wo                   back                 N      
baqk                 wr                   back                 N      
baqk                 ws                   back                 N      
baqk                 wt                   back                 N      
baqk                 wu                   back                 N      
baqk                 wv                   back                 N      
baqk                 wy                   back                 N      
baqk                 x                    back                 N      
baqk                 xc                   back                 N      
baqk                 xd                   back                 N      
baqk                 xi                   back                 N      
baqk                 xl                   back                 N      
baqk                 xp                   back                 N      
baqk                 xr                   back                 N      
baqk                 xs                   back                 N      
baqk                 xu                   back                 N      
baqk                 xv                   back                 N      
baqk                 xw                   back                 N      
baqk                 xx                   back                 N      
baqk                 y                    back                 N      
baqk                 ya                   back                 N      
baqk                 yb                   back                 N      
baqk                 yd                   back                 N      
baqk                 ye                   back                 N      
baqk                 yi                   back                 N      
baqk                 ym                   back                 N      
baqk                 yn                   back                 N      
baqk                 yo                   back                 N      
baqk                 yr                   back                 N      
baqk                 ys                   back                 N      
baqk                 yt                   back                 N      
baqk                 z                    back                 N      
baqk                 za                   back                 N      
baqk                 zb                   back                 N      
baqk                 zn                   back                 N      
baqk                 zo                   back                 N      
baqk                 zr                   back                 N      
baqk                 zs                   back                 N      
baqk                 zx                   back                 N      
bawz                 baw                  baws                 N      
bearfoot             bearfoot             barefoot             N      
bebeh                bebed                baby                 N      
beeotch              bebotch              biatch               N      
beeotch              bee                  biatch               N      
beeotch              beech                biatch               N      
beeotch              botch                biatch               N      
beeotch              cotch                biatch               N      
beeotch              fotch                biatch               N      
beeotch              gotch                biatch               N      
beeotch              hotch                biatch               N      
beeotch              notch                biatch               N      
beeotch              potch                biatch               N      
beeotch              rotch                biatch               N      
beeotch              tch                  biatch               N      
beery                beery                berry                N      
beeze                beezer               beezie               N      
behenchod            behen                bhenchod             N      
beutiful             beautiful            beautiful            Y      
beutiful             dutiful              beautiful            N      
bewn                 hewn                 b00n                 N      
bewn                 sewn                 b00n                 N      
biast                bias                 bias                 Y      
bibl                 bibl                 bible                N      
bicth                bic                  bitch                N      
biotch               bio                  bitch                N      
biotch               biota                bitch                N      
biotch               biotech              bitch                N      
biotch               bitch                bitch                Y      
biotch               botch                bitch                N      
biotch               cotch                bitch                N      
biotch               fotch                bitch                N      
biotch               gotch                bitch                N      
biotch               hotch                bitch                N      
biotch               notch                bitch                N      
biotch               potch                bitch                N      
biotch               rotch                bitch                N      
biotch               tch                  bitch                N      
bitach               tach                 bitatch              N      
bitach               tach                 bitch                N      
bitchen              bitch                bitchin              N      
bitchen              bitched              bitchin              N      
bitchen              bitches              bitchin              N      
bitchen              kitchen              bitchin              N      
bitchen              witchen              bitchin              N      
bitcj                bit                  bitch                N      
bitcj                bitch                bitch                Y      
bithc                bit                  bitch                N      
bithc                thc                  bitch                N      
bitsh                bits                 bitch                N      
bizness              ness                 business             N      
bizy                 biz                  busy                 N      
blar                 blare                blah                 N      
blar                 blart                blah                 N      
blar                 lar                  blah                 N      
blatently            latently             blatantly            N      
bler                 abler                bleh                 N      
bler                 bleiler              bleh                 N      
bler                 blere                bleh                 N      
bler                 ler                  bleh                 N      
blond                blond                blonde               N      
bobies               bobbies              boobies              N      
bobies               boobies              boobies              Y      
boke                 boke                 boak                 N      
bollicks             rollicks             bollocks             N      
bollix               bollix               bollocks             N      
bollox               bollox               bollocks             N      
bollucks             lucks                bollocks             N      
bona                 bona                 boner                N      
bonza                onza                 bonzer               N      
boobes               boob                 boobs                N      
boobes               boobed               boobs                N      
boobes               obes                 boobs                N      
boobiez              boobies              boobies              Y      
bote                 bote                 boat                 N      
boudicca             boud                 boudica              N      
boudicca             boudin               boudica              N      
braj                 bra                  brah                 N      
braj                 raj                  brah                 N      
brane                bran                 brain                N      
brane                rane                 brain                N      
brasil               brasil               brazil               N      
bratwurst            bratwurst            bratwurst            Y      
brillant             brillante            brillant             N      
bronie               cronie               brony                N      
brootal              broo                 brutal               N      
brootal              uprootal             brutal               N      
bru                  brubru               bro                  N      
bru                  brum                 bro                  N      
bru                  brut                 bro                  N      
brussels             brussels             brussel              N      
bryt                 bryn                 bright               N      
bryt                 tryt                 bright               N      
bss                  bbss                 bs                   N      
bubbla               bubble               bubbler              N      
bubbla               bubbly               bubbler              N      
buggie               buggier              buggy                N      
buggie               buggies              buggy                N      
burd                 burd                 bird                 N      
burque               bur                  alburquerque         N      
burque               burqa                alburquerque         N      
burque               que                  alburquerque         N      
butthead             bitthead             butthead             N      
butthead             busthead             butthead             N      
butthead             butt                 butthead             N      
butthead             butterhead           butthead             N      
butthead             head                 butthead             N      
butti                butt                 butty                N      
bwt                  a                    btw                  N      
bwt                  aa                   btw                  N      
bwt                  ab                   btw                  N      
bwt                  ac                   btw                  N      
bwt                  ad                   btw                  N      
bwt                  ae                   btw                  N      
bwt                  af                   btw                  N      
bwt                  ag                   btw                  N      
bwt                  ah                   btw                  N      
bwt                  ai                   btw                  N      
bwt                  ak                   btw                  N      
bwt                  al                   btw                  N      
bwt                  am                   btw                  N      
bwt                  an                   btw                  N      
bwt                  ao                   btw                  N      
bwt                  ap                   btw                  N      
bwt                  aq                   btw                  N      
bwt                  ar                   btw                  N      
bwt                  as                   btw                  N      
bwt                  at                   btw                  N      
bwt                  au                   btw                  N      
bwt                  av                   btw                  N      
bwt                  aw                   btw                  N      
bwt                  ax                   btw                  N      
bwt                  ay                   btw                  N      
bwt                  az                   btw                  N      
bwt                  b                    btw                  N      
bwt                  ba                   btw                  N      
bwt                  bb                   btw                  N      
bwt                  bc                   btw                  N      
bwt                  bd                   btw                  N      
bwt                  be                   btw                  N      
bwt                  bf                   btw                  N      
bwt                  bg                   btw                  N      
bwt                  bi                   btw                  N      
bwt                  bk                   btw                  N      
bwt                  bl                   btw                  N      
bwt                  bm                   btw                  N      
bwt                  bn                   btw                  N      
bwt                  bo                   btw                  N      
bwt                  bp                   btw                  N      
bwt                  br                   btw                  N      
bwt                  bs                   btw                  N      
bwt                  bt                   btw                  N      
bwt                  bu                   btw                  N      
bwt                  bv                   btw                  N      
bwt                  bx                   btw                  N      
bwt                  by                   btw                  N      
bwt                  bz                   btw                  N      
bwt                  c                    btw                  N      
bwt                  ca                   btw                  N      
bwt                  cb                   btw                  N      
bwt                  cc                   btw                  N      
bwt                  cd                   btw                  N      
bwt                  ce                   btw                  N      
bwt                  cf                   btw                  N      
bwt                  cg                   btw                  N      
bwt                  ch                   btw                  N      
bwt                  ci                   btw                  N      
bwt                  ck                   btw                  N      
bwt                  cl                   btw                  N      
bwt                  cm                   btw                  N      
bwt                  co                   btw                  N      
bwt                  cp                   btw                  N      
bwt                  cq                   btw                  N      
bwt                  cr                   btw                  N      
bwt                  cs                   btw                  N      
bwt                  ct                   btw                  N      
bwt                  cu                   btw                  N      
bwt                  cv                   btw                  N      
bwt                  cw                   btw                  N      
bwt                  cwt                  btw                  N      
bwt                  cy                   btw                  N      
bwt                  d                    btw                  N      
bwt                  da                   btw                  N      
bwt                  db                   btw                  N      
bwt                  dc                   btw                  N      
bwt                  dd                   btw                  N      
bwt                  de                   btw                  N      
bwt                  dg                   btw                  N      
bwt                  di                   btw                  N      
bwt                  dj                   btw                  N      
bwt                  dk                   btw                  N      
bwt                  dl                   btw                  N      
bwt                  dm                   btw                  N      
bwt                  dn                   btw                  N      
bwt                  do                   btw                  N      
bwt                  dp                   btw                  N      
bwt                  dr                   btw                  N      
bwt                  ds                   btw                  N      
bwt                  dt                   btw                  N      
bwt                  du                   btw                  N      
bwt                  dwt                  btw                  N      
bwt                  dx                   btw                  N      
bwt                  dy                   btw                  N      
bwt                  dz                   btw                  N      
bwt                  e                    btw                  N      
bwt                  ea                   btw                  N      
bwt                  eb                   btw                  N      
bwt                  ec                   btw                  N      
bwt                  ed                   btw                  N      
bwt                  ee                   btw                  N      
bwt                  ef                   btw                  N      
bwt                  eg                   btw                  N      
bwt                  eh                   btw                  N      
bwt                  el                   btw                  N      
bwt                  em                   btw                  N      
bwt                  en                   btw                  N      
bwt                  eo                   btw                  N      
bwt                  ep                   btw                  N      
bwt                  eq                   btw                  N      
bwt                  er                   btw                  N      
bwt                  es                   btw                  N      
bwt                  et                   btw                  N      
bwt                  eu                   btw                  N      
bwt                  ev                   btw                  N      
bwt                  ew                   btw                  N      
bwt                  ex                   btw                  N      
bwt                  ey                   btw                  N      
bwt                  f                    btw                  N      
bwt                  fa                   btw                  N      
bwt                  fb                   btw                  N      
bwt                  fc                   btw                  N      
bwt                  fe                   btw                  N      
bwt                  ff                   btw                  N      
bwt                  fg                   btw                  N      
bwt                  fi                   btw                  N      
bwt                  fl                   btw                  N      
bwt                  fm                   btw                  N      
bwt                  fn                   btw                  N      
bwt                  fo                   btw                  N      
bwt                  fp                   btw                  N      
bwt                  fr                   btw                  N      
bwt                  fs                   btw                  N      
bwt                  ft                   btw                  N      
bwt                  fu                   btw                  N      
bwt                  fv                   btw                  N      
bwt                  fw                   btw                  N      
bwt                  fx                   btw                  N      
bwt                  fy                   btw                  N      
bwt                  fz                   btw                  N      
bwt                  g                    btw                  N      
bwt                  ga                   btw                  N      
bwt                  gb                   btw                  N      
bwt                  gd                   btw                  N      
bwt                  ge                   btw                  N      
bwt                  gi                   btw                  N      
bwt                  gl                   btw                  N      
bwt                  gm                   btw                  N      
bwt                  gn                   btw                  N      
bwt                  go                   btw                  N      
bwt                  gp                   btw                  N      
bwt                  gr                   btw                  N      
bwt                  gs                   btw                  N      
bwt                  gt                   btw                  N      
bwt                  gu                   btw                  N      
bwt                  gv                   btw                  N      
bwt                  gw                   btw                  N      
bwt                  h                    btw                  N      
bwt                  ha                   btw                  N      
bwt                  hb                   btw                  N      
bwt                  hd                   btw                  N      
bwt                  he                   btw                  N      
bwt                  hf                   btw                  N      
bwt                  hg                   btw                  N      
bwt                  hi                   btw                  N      
bwt                  hl                   btw                  N      
bwt                  hm                   btw                  N      
bwt                  ho                   btw                  N      
bwt                  hp                   btw                  N      
bwt                  hq                   btw                  N      
bwt                  hr                   btw                  N      
bwt                  hs                   btw                  N      
bwt                  ht                   btw                  N      
bwt                  hu                   btw                  N      
bwt                  hv                   btw                  N      
bwt                  hw                   btw                  N      
bwt                  hwt                  btw                  N      
bwt                  hy                   btw                  N      
bwt                  hz                   btw                  N      
bwt                  i                    btw                  N      
bwt                  ia                   btw                  N      
bwt                  ib                   btw                  N      
bwt                  ic                   btw                  N      
bwt                  id                   btw                  N      
bwt                  ie                   btw                  N      
bwt                  if                   btw                  N      
bwt                  ii                   btw                  N      
bwt                  ik                   btw                  N      
bwt                  il                   btw                  N      
bwt                  im                   btw                  N      
bwt                  in                   btw                  N      
bwt                  io                   btw                  N      
bwt                  ip                   btw                  N      
bwt                  iq                   btw                  N      
bwt                  ir                   btw                  N      
bwt                  is                   btw                  N      
bwt                  it                   btw                  N      
bwt                  iu                   btw                  N      
bwt                  iv                   btw                  N      
bwt                  iw                   btw                  N      
bwt                  ix                   btw                  N      
bwt                  j                    btw                  N      
bwt                  ja                   btw                  N      
bwt                  jg                   btw                  N      
bwt                  ji                   btw                  N      
bwt                  jo                   btw                  N      
bwt                  jr                   btw                  N      
bwt                  js                   btw                  N      
bwt                  jt                   btw                  N      
bwt                  ju                   btw                  N      
bwt                  k                    btw                  N      
bwt                  ka                   btw                  N      
bwt                  kb                   btw                  N      
bwt                  kc                   btw                  N      
bwt                  kg                   btw                  N      
bwt                  ki                   btw                  N      
bwt                  kl                   btw                  N      
bwt                  km                   btw                  N      
bwt                  kn                   btw                  N      
bwt                  ko                   btw                  N      
bwt                  kr                   btw                  N      
bwt                  ks                   btw                  N      
bwt                  kt                   btw                  N      
bwt                  ku                   btw                  N      
bwt                  kv                   btw                  N      
bwt                  kw                   btw                  N      
bwt                  ky                   btw                  N      
bwt                  l                    btw                  N      
bwt                  la                   btw                  N      
bwt                  lb                   btw                  N      
bwt                  lc                   btw                  N      
bwt                  ld                   btw                  N      
bwt                  le                   btw                  N      
bwt                  lf                   btw                  N      
bwt                  lg                   btw                  N      
bwt                  lh                   btw                  N      
bwt                  li                   btw                  N      
bwt                  ll                   btw                  N      
bwt                  lm                   btw                  N      
bwt                  ln                   btw                  N      
bwt                  lo                   btw                  N      
bwt                  lp                   btw                  N      
bwt                  lr                   btw                  N      
bwt                  ls                   btw                  N      
bwt                  lt                   btw                  N      
bwt                  lu                   btw                  N      
bwt                  lv                   btw                  N      
bwt                  lx                   btw                  N      
bwt                  ly                   btw                  N      
bwt                  m                    btw                  N      
bwt                  ma                   btw                  N      
bwt                  mb                   btw                  N      
bwt                  mc                   btw                  N      
bwt                  md                   btw                  N      
bwt                  me                   btw                  N      
bwt                  mf                   btw                  N      
bwt                  mg                   btw                  N      
bwt                  mh                   btw                  N      
bwt                  mi                   btw                  N      
bwt                  mk                   btw                  N      
bwt                  ml                   btw                  N      
bwt                  mm                   btw                  N      
bwt                  mn                   btw                  N      
bwt                  mo                   btw                  N      
bwt                  mp                   btw                  N      
bwt                  mr                   btw                  N      
bwt                  ms                   btw                  N      
bwt                  mt                   btw                  N      
bwt                  mu                   btw                  N      
bwt                  mv                   btw                  N      
bwt                  mw                   btw                  N      
bwt                  my                   btw                  N      
bwt                  n                    btw                  N      
bwt                  na                   btw                  N      
bwt                  nb                   btw                  N      
bwt                  nd                   btw                  N      
bwt                  ne                   btw                  N      
bwt                  ng                   btw                  N      
bwt                  ni                   btw                  N      
bwt                  nj                   btw                  N      
bwt                  nl                   btw                  N      
bwt                  nm                   btw                  N      
bwt                  no                   btw                  N      
bwt                  np                   btw                  N      
bwt                  nr                   btw                  N      
bwt                  ns                   btw                  N      
bwt                  nt                   btw                  N      
bwt                  nu                   btw                  N      
bwt                  nv                   btw                  N      
bwt                  nw                   btw                  N      
bwt                  ny                   btw                  N      
bwt                  nz                   btw                  N      
bwt                  o                    btw                  N      
bwt                  ob                   btw                  N      
bwt                  oc                   btw                  N      
bwt                  od                   btw                  N      
bwt                  oe                   btw                  N      
bwt                  of                   btw                  N      
bwt                  og                   btw                  N      
bwt                  oh                   btw                  N      
bwt                  oj                   btw                  N      
bwt                  ok                   btw                  N      
bwt                  ol                   btw                  N      
bwt                  om                   btw                  N      
bwt                  on                   btw                  N      
bwt                  op                   btw                  N      
bwt                  or                   btw                  N      
bwt                  os                   btw                  N      
bwt                  ot                   btw                  N      
bwt                  ow                   btw                  N      
bwt                  owt                  btw                  N      
bwt                  ox                   btw                  N      
bwt                  oy                   btw                  N      
bwt                  oz                   btw                  N      
bwt                  p                    btw                  N      
bwt                  pa                   btw                  N      
bwt                  pb                   btw                  N      
bwt                  pc                   btw                  N      
bwt                  pd                   btw                  N      
bwt                  pe                   btw                  N      
bwt                  pf                   btw                  N      
bwt                  pg                   btw                  N      
bwt                  ph                   btw                  N      
bwt                  pi                   btw                  N      
bwt                  pk                   btw                  N      
bwt                  pl                   btw                  N      
bwt                  pm                   btw                  N      
bwt                  po                   btw                  N      
bwt                  pp                   btw                  N      
bwt                  pq                   btw                  N      
bwt                  pr                   btw                  N      
bwt                  ps                   btw                  N      
bwt                  pt                   btw                  N      
bwt                  pu                   btw                  N      
bwt                  pw                   btw                  N      
bwt                  pwt                  btw                  N      
bwt                  px                   btw                  N      
bwt                  q                    btw                  N      
bwt                  qa                   btw                  N      
